A,B,C
208,40,897
210,33,902
208,48,897
213,22,902
215,48,903
215,21,902
214,4,905
214,15,896
216,30,903
216,18,904
218,23,898
217,45,895
218,0,895
223,14,895
221,24,903
222,36,903
227,38,905
228,13,902
225,28,896
229,3,896
227,13,899
232,43,904
230,49,895
230,36,900
234,19,903
233,39,904
232,44,896
236,31,901
237,41,895
240,13,900
240,6,896
238,1,903
240,21,901
244,49,905
243,43,903
241,8,899
247,37,902
243,16,901
245,45,905
245,9,900
246,4,898
247,15,903
250,26,901
253,26,901
250,34,902
252,23,901
256,36,901
256,44,905
259,28,896
256,22,897
260,36,898
260,17,898
263,29,904
261,24,905
264,28,897
261,4,900
265,28,897
266,49,897
266,46,895
270,15,903
271,40,903
271,40,901
268,33,905
271,7,905
271,9,899
273,43,895
275,24,901
277,22,905
278,32,900
277,17,895
279,3,904
280,20,900
282,44,905
281,21,905
284,8,902
284,32,896
285,48,900
286,48,897
287,21,897
290,4,901
287,3,897
292,2,902
288,44,904
290,40,900
295,7,899
294,32,902
292,3,896
298,9,896
297,10,898
295,18,905
297,31,898
301,48,897
302,2,903
299,19,899
304,24,900
303,18,895
307,22,904
305,17,896
304,3,901
305,29,904
308,22,905
309,48,900
310,37,899
310,19,901
314,6,902
311,45,903
313,14,902
317,47,905
315,49,898
318,2,899
319,36,905
318,1,896
323,46,905
322,17,904
324,17,898
326,39,905
325,5,897
326,1,897
325,32,896
325,14,895
328,28,903
329,34,901
333,41,902
333,13,895
333,4,901
332,32,902
337,20,903
334,36,898
339,40,904
336,26,903
340,20,899
337,16,899
342,27,897
342,24,895
341,10,895
344,0,904
345,44,902
344,36,896
347,43,897
348,14,896
349,25,901
348,8,901
349,15,899
353,12,904
355,14,904
351,28,899
357,23,897
353,45,904
358,31,905
357,1,895
357,34,898
359,15,899
359,35,898
363,36,898
365,3,897
365,1,901
364,19,900
367,27,905
367,17,899
370,12,902
368,0,902
368,34,897
371,25,902
373,28,898
373,49,904
373,36,895
372,33,903
378,9,903
377,16,899
377,45,902
380,1,903
382,2,896
378,8,900
383,31,900
384,8,899
384,38,900
383,27,898
383,26,900
389,37,902
390,23,905
391,37,899
387,45,901
391,29,896
390,22,899
390,31,901
393,47,895
394,24,905
395,0,903
394,7,902
399,34,897
401,22,900
398,34,898
403,30,901
403,17,903
404,45,899
402,23,902
407,29,897
405,33,895
408,33,901
408,3,901
408,43,897
408,19,899
413,18,899
412,7,899
413,0,896
415,0,903
416,23,905
413,8,903
419,17,904
419,11,902
419,49,905
419,22,902
418,18,904
420,49,905
420,3,903
426,39,900
427,37,900
426,39,901
428,2,897
428,36,903
429,30,904
432,41,902
433,16,895
430,42,904
430,29,905
433,0,904
434,14,904
436,26,901
436,41,904
438,14,901
436,15,896
442,34,904
439,17,902
444,45,903
444,21,904
445,42,903
446,48,899
445,23,903
445,46,901
448,37,895
447,30,905
450,48,899
449,1,901
449,20,900
455,2,895
452,11,903
455,18,905
455,40,899
455,37,900
456,19,898
459,17,903
461,29,899
462,5,904
464,23,905
462,47,904
461,20,902
464,15,896
465,32,901
469,49,902
468,49,896
466,39,903
470,29,895
471,10,895
469,39,903
475,25,902
474,30,897
476,43,897
475,12,903
476,20,901
477,24,897
479,28,895
477,43,899
483,34,905
481,2,903
482,22,898
486,25,900
486,47,900
483,22,897
485,7,904
486,1,901
486,39,895
492,37,899
488,19,896
493,35,905
494,31,904
493,42,900
495,8,897
495,25,903
495,43,899
500,42,897
496,1,904
497,0,896
499,25,899
501,14,901
145,71,901
121,63,901
124,71,900
12,53,895
140,77,901
164,55,901
199,87,896
114,95,899
32,73,896
78,96,900
82,90,905
86,53,896
144,59,902
125,100,899
34,83,902
61,87,902
155,84,905
129,96,905
151,69,900
152,52,898
47,53,905
9,82,896
168,74,898
156,71,895
16,60,903
148,100,895
176,67,903
194,59,902
189,84,900
73,55,901
35,57,895
76,76,901
119,86,897
196,100,900
29,59,901
45,62,895
109,99,905
121,62,905
185,79,898
41,99,903
18,52,896
124,93,898
123,100,905
173,54,903
3,99,903
11,61,895
187,64,896
109,80,900
99,94,896
143,100,896
118,62,896
23,53,896
134,75,899
140,65,904
128,51,900
117,82,901
63,92,903
188,85,896
149,71,903
199,85,905
132,61,902
75,97,900
69,69,905
107,89,895
39,54,902
102,61,895
104,88,902
185,85,905
152,82,901
109,60,905
1,92,905
176,57,903
78,72,902
17,94,897
3,74,899
189,74,903
70,65,900
167,73,897
70,60,904
124,56,905
40,87,902
191,99,900
101,63,898
63,57,896
181,77,900
131,76,903
109,72,903
130,89,905
185,54,897
119,76,899
18,55,897
84,77,898
145,69,900
180,71,904
3,55,901
138,69,901
181,78,902
177,83,895
179,61,895
174,75,904
124,53,896
52,82,901
92,96,902
197,55,895
34,55,905
73,90,901
82,83,905
104,98,902
9,58,903
49,72,901
154,87,895
84,68,900
160,62,905
148,94,898
157,79,900
138,76,898
169,56,905
160,61,900
186,68,903
27,81,901
118,77,896
26,93,900
22,90,904
172,64,898
131,56,898
140,86,896
87,60,902
12,70,899
13,58,905
89,69,905
144,71,897
18,52,902
46,77,897
94,71,905
162,61,900
20,75,904
109,70,901
164,82,900
118,92,901
160,94,895
115,51,901
19,75,902
67,72,900
63,73,902
198,80,896
125,79,899
110,88,903
66,100,899
121,81,902
66,76,895
88,66,899
146,60,895
134,71,904
120,51,897
19,65,900
117,55,903
144,73,896
173,53,896
71,54,895
199,68,904
39,76,897
149,76,896
154,89,895
162,73,905
118,95,905
46,98,895
93,87,898
158,77,902
61,60,899
67,93,898
90,72,896
82,65,897
107,79,895
43,89,903
128,78,898
123,51,900
96,55,902
175,68,902
138,84,898
94,71,902
70,86,899
92,76,902
198,78,896
96,56,896
29,79,904
9,56,903
158,57,901
78,57,904
80,99,897
102,88,902
147,60,896
173,94,904
156,99,900
45,56,897
183,72,905
200,51,898
96,87,900
186,89,905
160,61,901
27,88,896
119,53,904
107,94,898
143,73,903
118,76,902
60,58,895
136,54,904
146,73,905
34,53,898
5,75,904
190,85,901
115,97,903
75,73,895
106,88,900
59,56,901
122,71,902
175,99,895
142,92,898
145,99,901
80,95,900
90,77,898
86,61,900
2,78,905
35,74,904
166,58,896
143,99,905
90,56,895
133,54,905
173,65,898
166,68,901
183,53,895
0,71,900
114,87,904
197,99,902
162,61,895
68,93,895
151,92,896
140,79,900
89,58,904
175,90,901
196,99,900
127,68,904
10,78,902
22,57,899
124,56,895
169,79,902
70,90,896
179,92,898
181,61,898
34,87,903
153,98,904
60,57,898
4,77,899
176,70,905
103,82,895
54,63,903
120,73,904
187,77,901
37,94,896
12,91,898
132,88,902
199,75,898
45,84,900
37,90,905
110,53,897
34,83,903
185,75,900
67,93,895
26,71,900
16,77,899
22,78,896
10,51,899
160,95,898
6,66,905
36,90,899
185,67,904
77,90,898
103,69,904
136,80,904
144,93,900
116,57,901
113,83,905
169,100,904
28,76,903
103,67,896
186,71,904
154,63,895
29,81,901
167,98,903
169,79,903
21,64,898
3,58,901
109,91,903
131,53,896
124,76,900
170,99,903
80,92,895
142,77,895
142,77,904
152,55,901
183,73,903
7,92,901
44,77,903
164,79,898
3,55,895
182,73,896
68,80,900
162,51,903
112,73,896
78,69,897
150,82,905
78,68,903
107,77,898
122,96,902
128,68,897
131,63,895
45,51,896
6,95,905
43,69,897
68,89,904
9,64,904
112,91,905
133,55,897
27,88,903
99,51,895
199,55,895
83,59,903
127,76,896
128,92,903
67,70,896
44,87,896
96,78,901
121,84,899
60,65,905
118,84,903
68,96,903
143,72,899
105,74,900
101,67,901
79,88,899
64,55,901
120,78,905
106,68,898
193,97,902
45,51,902
67,82,899
65,89,899
176,77,895
161,65,899
56,77,902
162,71,895
120,69,905
30,77,895
12,90,901
12,54,895
41,55,901
118,81,896
51,96,905
14,71,899
178,63,904
175,79,900
95,59,904
21,84,895
21,57,905
171,51,903
2,63,904
173,54,902
75,61,895
19,66,900
154,69,896
120,77,897
154,59,897
147,64,900
60,87,902
93,96,896
16,78,905
157,84,897
9,88,905
143,70,896
8,54,895
173,90,904
51,72,899
155,76,896
43,59,905
50,85,900
116,94,895
180,88,896
190,85,904
168,74,905
82,89,900
114,62,897
165,75,902
10,58,899
193,79,896
10,76,899
192,58,900
182,97,901
27,75,905
141,53,898
25,79,901
52,96,902
176,52,902
94,82,899
113,91,899
57,84,903
53,71,895
25,95,899
63,66,905
23,67,904
187,65,895
25,96,905
197,96,905
180,55,897
174,94,897
6,94,900
130,96,899
110,82,905
75,75,898
107,69,896
113,82,905
32,90,899
111,58,897
107,86,899
21,71,903
0,92,897
172,83,900
44,61,904
128,94,901
127,92,895
126,98,899
130,70,895
48,70,901
127,77,895
40,51,898
29,71,895
123,91,900
140,65,898
164,64,901
48,78,899
39,76,897
33,72,900
56,78,897
67,56,904
177,91,895
77,51,898
116,75,904
132,85,903
157,85,895
65,99,901
58,64,899
51,91,903
78,51,895
4,58,905
80,65,903
9,54,895
159,85,898
105,75,904
195,70,902
80,53,905
16,54,896
93,61,904
133,69,895
103,98,901
11,85,904
3,75,899
171,90,905
122,99,904
166,64,903
98,96,904
131,76,905
70,70,905
145,86,903
9,64,905
179,75,899
106,90,900
63,100,903
38,75,897
170,83,904
54,79,901
90,82,905
120,94,898
49,55,903
191,57,905
54,51,898
74,66,902
141,63,905
139,75,898
179,85,896
136,96,898
200,84,900
136,71,895
144,80,895
124,53,897
197,96,897
93,76,904
72,79,903
78,54,900
82,75,896
3,83,897
46,83,904
82,65,905
